11 => 0 1 2 3 4 6 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 46 47 48 49 
46 => 0 1 2 3 4 9 11 12 13 17 18 19 20 21 22 24 25 30 31 32 34 35 36 37 38 39 40 45 47 48 49 
27 => 0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 19 21 22 25 26 28 29 31 32 33 34 35 36 40 42 43 44 48 
5 => 0 1 2 4 6 9 10 13 15 16 17 19 21 22 25 27 28 29 30 31 32 33 34 35 36 37 40 42 43 44 45 47 48 49 
14 => 0 2 4 8 9 10 11 12 15 17 18 19 20 22 23 24 25 27 28 29 30 31 32 33 35 36 37 38 39 43 44 45 47 49 
40 => 1 2 3 4 5 7 8 9 10 11 12 13 17 18 19 20 21 23 24 25 27 28 29 31 32 34 35 36 37 38 39 41 42 43 45 46 47 48 49 
47 => 0 2 3 4 5 7 8 11 14 15 16 17 18 20 21 22 23 24 26 28 29 31 32 33 35 36 37 38 39 40 43 44 46 48 49 
6 => 0 2 3 4 5 7 8 9 10 11 12 15 16 17 19 21 22 23 27 28 30 31 32 33 35 36 37 38 39 41 44 45 48 49 
8 => 0 2 3 4 6 9 11 12 14 16 17 18 21 22 23 24 27 28 30 33 34 35 36 37 38 39 40 41 42 43 44 47 
13 => 0 5 7 9 10 11 15 17 19 21 22 24 25 26 27 28 29 30 31 32 34 35 36 37 38 39 40 41 42 44 45 46 48 49 
22 => 0 1 3 5 6 7 8 9 10 11 12 13 14 18 21 23 24 25 26 27 28 29 30 33 34 35 36 38 39 41 42 43 45 46 47 48 
19 => 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 24 27 28 29 30 31 32 34 35 36 37 39 40 41 42 43 45 46 48 49 
34 => 0 5 7 8 9 11 13 15 16 17 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 43 44 46 48 49 
45 => 2 4 5 6 7 10 11 13 14 15 16 17 18 19 22 23 25 26 29 30 31 32 33 36 37 38 39 40 43 44 46 
9 => 0 1 2 3 4 5 6 7 8 11 12 13 14 16 17 18 19 21 22 23 26 27 28 29 34 35 38 39 40 41 43 46 48 49 
24 => 0 2 3 4 7 8 10 11 12 13 14 15 19 20 22 23 25 26 28 29 30 32 34 35 36 38 39 40 41 42 46 47 48 
32 => 0 3 4 5 6 10 11 12 13 14 15 17 18 19 21 23 24 25 26 27 30 31 33 34 35 36 37 38 40 41 42 44 45 46 47 49 
33 => 0 1 3 4 5 6 7 8 10 11 14 15 16 17 18 20 22 23 25 27 28 29 31 32 34 35 37 38 39 41 42 43 44 45 47 48 49 
31 => 1 2 3 5 6 7 11 12 13 14 15 16 17 18 19 20 21 23 25 26 27 28 29 30 32 33 35 36 37 38 39 40 41 43 44 45 46 47 48 49 
35 => 0 1 2 4 5 6 7 8 9 10 11 13 14 16 17 18 19 20 21 22 23 24 26 27 31 32 33 34 36 37 38 40 42 43 46 47 49 
15 => 0 1 2 3 4 5 6 7 11 13 14 18 19 21 24 25 26 27 30 31 32 33 34 38 39 42 43 44 45 47 48 49 
41 => 2 3 6 7 8 9 10 11 12 13 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 36 37 38 39 40 43 48 
16 => 1 2 5 6 7 8 9 10 11 12 17 18 19 20 26 27 29 31 33 34 35 37 38 41 44 45 47 48 49 
48 => 1 2 3 4 5 6 7 9 10 11 12 13 15 16 18 19 20 21 22 23 24 25 26 27 30 31 33 34 37 39 40 41 42 43 46 47 49 
25 => 0 1 3 5 7 10 11 12 13 14 15 18 20 21 22 24 26 27 28 29 30 31 32 33 34 39 40 41 44 45 46 48 49 
42 => 0 1 4 5 8 10 11 12 13 15 17 19 20 22 23 24 26 27 29 30 32 33 35 36 37 38 39 40 43 48 49 
2 => 0 3 5 6 8 9 10 11 12 14 15 16 19 20 21 23 24 26 27 28 30 31 35 36 40 41 43 45 46 47 48 49 
38 => 0 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 21 22 23 24 26 28 30 31 32 33 34 35 36 37 39 40 41 42 43 45 46 47 49 
30 => 0 1 2 3 5 6 7 8 10 11 12 13 14 15 17 18 19 22 23 24 25 28 31 32 34 36 38 39 41 42 45 46 48 49 
12 => 0 1 2 3 4 6 8 9 10 11 14 16 17 19 20 21 22 24 25 26 28 29 30 31 32 36 38 40 41 42 44 46 48 49 
37 => 0 1 3 4 5 6 7 8 11 13 14 16 19 21 23 26 28 29 31 32 33 34 35 36 38 40 41 42 43 44 45 46 47 48 49 
17 => 0 4 5 6 7 8 9 10 11 12 13 14 16 19 20 21 23 27 28 29 30 31 32 33 34 35 36 38 40 42 43 45 46 47 
23 => 0 1 2 3 6 7 8 9 10 11 14 17 18 20 22 24 26 29 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 47 48 49 
21 => 0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 17 22 25 26 27 28 29 31 32 34 35 37 38 40 41 43 44 46 47 48 
39 => 0 3 4 6 8 9 10 11 13 14 15 18 19 20 22 24 25 28 29 30 31 33 34 36 38 40 41 42 43 44 45 46 47 48 49 
20 => 1 2 3 4 7 10 11 12 14 16 17 18 23 24 25 26 28 31 33 34 35 39 40 41 42 43 46 47 48 
49 => 1 2 4 5 6 9 10 11 12 13 14 15 16 18 19 23 25 29 30 31 32 33 34 35 36 37 38 39 40 42 43 46 47 48 
28 => 1 2 3 5 6 7 8 9 10 11 12 13 14 17 18 19 20 21 22 24 25 26 27 30 31 33 34 36 37 38 39 40 41 43 47 
4 => 0 1 3 5 6 8 9 10 11 12 14 15 17 18 19 20 21 24 26 27 32 33 35 36 37 38 39 40 42 43 44 45 46 47 48 49 
36 => 0 1 2 4 5 6 8 10 11 12 13 14 17 18 19 22 23 24 27 28 29 30 31 32 34 35 37 38 39 40 41 42 43 44 45 46 47 49 
43 => 1 2 4 5 8 9 11 14 15 17 18 19 20 21 22 23 26 27 28 29 31 33 34 35 36 37 38 39 40 41 42 44 45 47 48 49 
7 => 0 3 6 9 13 15 16 17 18 19 20 21 22 23 24 25 27 28 29 30 31 33 34 35 37 38 40 41 45 47 48 
18 => 1 3 4 7 8 9 10 11 14 15 16 19 20 22 23 25 26 28 29 30 31 32 33 34 35 36 38 39 40 41 43 44 45 46 47 48 49 
3 => 0 1 2 4 6 7 8 9 10 11 12 15 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 37 38 39 40 41 44 46 47 48 
10 => 0 1 2 3 4 5 6 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 30 32 33 35 36 38 39 40 41 42 45 48 49 
1 => 0 3 4 5 9 10 11 12 15 16 18 20 21 22 23 25 26 27 28 29 30 31 33 35 36 37 40 42 43 44 46 48 49 
26 => 0 1 2 3 4 9 10 12 13 15 16 18 20 21 22 23 24 25 27 28 31 32 35 37 38 41 42 43 44 45 47 48 
29 => 0 1 3 5 7 9 11 12 13 14 16 17 18 19 21 22 23 24 25 27 31 33 34 36 37 39 40 41 42 43 44 45 47 49 
44 => 1 3 4 5 6 8 12 13 14 15 16 18 21 23 25 26 27 29 31 32 33 34 36 37 39 43 45 47 
0 => 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 21 22 23 24 25 26 27 29 30 32 33 34 35 36 37 38 39 42 46 47 

Vertex - Color
Vertex 7: Color 6
Vertex 20: Color 0
Vertex 39: Color 11
Vertex 46: Color 10
Vertex 26: Color 4
Vertex 21: Color 14
Vertex 29: Color 10
Vertex 24: Color 9
Vertex 44: Color 1
Vertex 5: Color 6
Vertex 41: Color 2
Vertex 14: Color 4
Vertex 18: Color 5
Vertex 45: Color 2
Vertex 43: Color 7
Vertex 38: Color 13
Vertex 23: Color 3
Vertex 33: Color 14
Vertex 2: Color 5
Vertex 48: Color 1
Vertex 47: Color 2
Vertex 37: Color 5
Vertex 27: Color 9
Vertex 11: Color 6
Vertex 17: Color 5
Vertex 19: Color 3
Vertex 12: Color 7
Vertex 25: Color 3
Vertex 9: Color 0
Vertex 6: Color 4
Vertex 31: Color 8
Vertex 49: Color 9
Vertex 42: Color 2
Vertex 10: Color 10
Vertex 0: Color 1
Vertex 4: Color 8
Vertex 30: Color 14
Vertex 34: Color 2
Vertex 35: Color 11
Vertex 16: Color 12
Vertex 40: Color 4
Vertex 22: Color 8
Vertex 32: Color 0
Vertex 1: Color 13
Vertex 8: Color 10
Vertex 13: Color 7
Vertex 3: Color 12
Vertex 28: Color 1
Vertex 15: Color 10
Vertex 36: Color 12
Number of colors: 15
Elapsed time: 0 seconds and 5877199 nanoseconds
